title,label
버거킹 바삭한 신메뉴 3000원도 안되는 가격,1
버거킹 가을 맞이 와퍼주니어 1900원 판매,0
귀엽거나 오싹하거나’할로윈데이 겨냥한 이색 식음료 출시,1
버거킹 몬스터X의 할로윈 에디션 스크림몬스터X 출시,1
햄버거 브랜드 버거킹 치킨 사이드 신메뉴 바삭킹 선보여,1
영국 버거킹 시각장애인에게 메뉴 읽기 거부 논란,-1
버거킹 핼러윈 기념 한정판 스크림몬스터X’ 출시스크림 리액션하면 경,1
단독 지금도 맥도날드서 벌레·이물질 줄줄줄반년새 21건 포스팅 충격,-1
버거킹 프리미엄 버거 비프칠리통모짜 2종 세트업 쿠폰증정,0
버거킹 스크림몬스터X 오퀴즈 1000만원 이벤트 정답은,0
신상품라운지버거킹 할로윈데이 스크림몬스터X 한정 출시,1
버거킹 치킨버거 3종 단품 구매 시 세트업 프로모션 실시,0
오퀴즈 천만원이벤트 버거킹 스크림몬스터X 출시 초성퀴즈 핼러윈 한정 판매,1
엄지족 잡아라패스트푸드도 배달 경쟁 가세,0
버거킹 스크림몬스터X OK캐쉬백 O퀴즈 정답은,0
버거킹스크림몬스터x 출시 기념 오퀴즈 이벤트초성퀴즈 문제와 정답은,1
일본제품 불매운동 지속 일본 버거킹 연속 적자행진롯데 日 버거킹 9년만에,-1
가성비 넘치는 한끼” 버거킹 가을 맞이 와퍼주니어 1900원 판매,0
오싹 비주얼에 눈길’핼러윈 겨냥 식음료 봇물,0
버거킹 스크림몬스터X  오퀴즈 천만원이벤트 정답은,0
맥도날드 따라 버거킹 간다···햄버거도 미투’ 속앓이,0
4딸라보다 싸다버거킹 일주일간 와퍼가 3500원,0
매물 폭탄 2020마시고 옷사입던 그 기업MA시장에 핫하게 부상,1
버거킹 비프칠리통모짜와퍼 2종 출시,1
롯데 인수 9년만에 日버거킹 사업 접었다,0
버거킹 드로잉의 달인’ SNS 이벤트 진행,0
英 버커킹 밀크셰이킹 광고 금지무책임한 정치적 선동,0
오늘의 유통 단신 헬로네이처 베이비키즈존 오픈 外,1
버거킹 치킨윙 사이드 메뉴 바삭킹 출시,1
통모짜 시리즈 세 번째 버거킹 비프칠리통모짜와퍼 내놔,0
견다희의 Check EAT 맥도날드 맥윙 外,0
버거킹 영국에서 플라스틱 장난감 지급 중단,-1
버거킹 올데이킹 리뉴얼 신메뉴 베이컨토마토비프버거’ 출시,1
버거킹단 7일간 인기스페셜버거3종50 반값’ 할인,1
버거킹 프리미엄 와퍼주니어 3종’ 할인 행사 실시,0
버거킹 통모짜 3탄 비프칠리통모짜와퍼 2종 출시,1
롯데 日 버거킹 사업 매각구조조정 통해 수익성 개선,-1
3대 버거 브랜드 불사조 메뉴는 무엇,0
오늘 어디갈까 롯데리아 맥도날드 그리고 버거킹까지 10월 행사 알아보기,0
비트코인 채택 희소식독일 버거킹 BTC 결제 지원,0
버거킹 2019 KSPBI 패스트푸드 부문 1위,1
버거킹 카톡 플친 대상 치킨버거 3종 세트업 쿠폰증정 프로모션 실시,0
버거킹 일주일간 버거 3종 50 할인 진행,0
오늘26일부터 버거킹 가면 육즙 팡팡 터지는 와퍼 단돈 3500원,0
MT리포트학자금대출 2천조 美도 골치깎아주고 안받고,0
버거킹 매콤바삭 치킨윙 신메뉴 바삭킹 출시,1
어떤 소스 고를까직접 먹어본 이들이 남긴 버거킹 바삭킹 최고 조합은,1
LG디스플레이 불화수소 국산화 성공이달 적용 예정,0
버거킹 매콤 바삭 치킨윙 사이드 신메뉴 바삭킹’ 출시,1
버거킹 인기 스페셜 버거 3종 50 할인,1
버거킹크라운 캠페인 감사 릴레이 이벤트 참여하면 다양한 경품이 팡팡,0
버거킹 사딸라 통했다올데이킹 누적 1천만 개 판매,0
버거킹 올데이킹 리뉴얼 및 베이컨토마토비프버거 선봬,0
신상품 동원FB 두툼 치즈 배스킨라빈스 허니레몬티 버거킹 바삭킹,1
롯데 일 버거킹 인수 9년만에 100억에 매각,-1
버거킹 와퍼주니어 3종단품 2900원 판매,0
버거킹 2019년 프리미엄브랜드지수 패스트푸드점 부문 1위,1
버거킹 韓 함박웃음 vs 日 울상엇갈린 한·일 온도차 뚜렷,-1
비프칠리 소스와 통모짜렐라 치즈의 만남버거킹 비프칠리통모짜와퍼 출시,1
영국 버거킹·맥도날드 플라스틱 장난감 제공 중단,-1
포커스 버거킹이 모짜렐라 치즈’에 꽂힌 사연,0
버거킹 통모짜와퍼 100만 소비자 울렸다100 이탈리아산 치즈는 왜 사라,0
롯데 100억원에 앓던 이 버거킹재팬 매각,-1
오늘12일 출시한 버거킹 핫도그 실제 후기 사진,1
버거킹x쟌슨빌 시즌 한정 스페셜 콜라보 진행,0
버거킹 16일부터 프리미어 와퍼 3종 3900원 판매 프로모션,0
버거킹 쟌슨빌과 역대급 신메뉴 프리미엄 핫도그 2종 한정 출시,1
버거킹 KSA 주관 프리미엄브랜드지수 시상식 패스트푸드점 부문 1위 수상,1
獨 버거킹 비트코인BTC 결제수단으로 추가,0
버거킹 와퍼 9월1일까지 단품 3500원매장방문 고객 대상,0
바르셀로나 노동위 버거킹 男넥타이·女리본 규정 성차별적,0
버거킹 쟌슨빌과 핫도그 2종 출시 정통 아메리칸 맛을 느껴보자’,1
버거킹 바삭킹 토스 행운퀴즈 정답은,0
버거킹통모짜 시리즈’출시 3주만에 100만 개 판매 돌파,1
버거킹 올데이킹 리뉴얼신메뉴 베이컨토마토비프버거 선봬,1
버거킹 신제품 트러플통모짜와퍼 선봬,1
버거킹 올데이킹 론칭 9개월간 누적 판매 1000만개,0
버거킹 올데이킹 누적 판매량 1000만개 돌파,1
버거킹X쟌슨빌 시즌 한정 핫도그 출시,1
맥도날드도 식물성 고기 햄버거 시험판매 돌입”,0
버거킹 사딸라 통했다 올데이킹 누적 판매량 1천만개 돌파,1
버거킹 2019 프리미엄브랜드지수 패스트푸드점 부문 1위 수상,1
버거킹 쟌슨빌 손잡고 신메뉴 프리미엄 핫도그 2종 한정 출시,1
버거킹 감사 릴레이 이벤트 진행,0
유통 신템’8월 3주 버거킹 쟌슨빌과 손잡고 핫도그 신메뉴 2종 한정 출,1
사딸라로 1천만개 오케이” 버거킹 올데이킹 누적 판매량 1천만개 돌파,1
롯데 日 버거킹 매각 9년간 매년 100억 적자”,-1
버거킹·쟌슨빌 콜라보 핫도그 2종 출시 가격 2900원·3500원,1
성수기 8월 맞아 버거킹 등 국내 대표 햄버거 프랜차이즈 다양한 이벤트 선보,0
버거킹 넉넉하고 풍성한 가을 맞이 프리미엄 와퍼 3종 3900원 판매,0
버거킹 종이왕관 향수 되살린 버거킹크라운 캠페인 릴레이 이벤트,0
버거킹 트러플 크림소스의 트러플통모짜와퍼’ 출시,1
버거킹 사딸라’ 통했다올데이킹 누적 판매량 1000만개 돌파,1
버거킹 사딸라 통했다올데이킹 누적 판매량 1천만 개 돌파,1
버거킹 브랜드 평가제도 2019 프리미엄브랜드지수 패스트푸드점 1위,1
버거킹쟌슨빌 컬래버 핫도그 메뉴 2종 한정 출시,1
버거킹과 쟌슨빌의 역대급 콜라보 신메뉴 프리미엄 핫도그 2종 한정 출시,1
버거킹 버거킹크라운 캠페인 감사 릴레이 이벤트,0
버거킹 프리미엄 와퍼 3종 할인 판매 이벤트,0
4달러도 안되는 버거버거킹 프리미엄 와퍼 3종 3900원 판매,0
버거킹 스크림몬스터X 오퀴즈 천만원이벤트 퀴즈 등장정답은 1031,0
버거킹 1900원 와퍼주니어 들고 가벼운 가을 나들이 떠나세요,0
오퀴즈 천만원이벤트 버거킹스크림몬스터X 출시 오전 9시 초성퀴즈 정답은,1
버거킹 스크림몬스터X  오퀴즈 천만원이벤트 정답은,0
버거킹스크림몬스터 오퀴즈 ㅎㅇㅌㅂ 초성 정답은,0
버거킹스크림몬스터X출시 오퀴즈 천만원 퀴즈 정답은,1
맥도날드 따라 버거킹 간다···햄버거도 미투’ 속앓이,0
4딸라보다 싸다버거킹 일주일간 와퍼가 3500원,0
매물 폭탄 2020마시고 옷사입던 그 기업MA시장에 핫하게 부상,1
버거킹 비프칠리통모짜와퍼 2종 출시,1
버거킹스크림몬스터 오퀴즈 ㅎㅇㅌㅂ 초성 정답은,0
버거킹스크림몬스터X출시 오퀴즈 천만원 퀴즈 정답은,1
버거킹 스크림몬스터X 오퀴즈 천만원이벤트 오전 9시 ㅎㅇㅌㅂ 초성퀴즈,0
맥도날드 따라 버거킹 간다···햄버거도 미투’ 속앓이,0
버거킹스크림몬스터X 오퀴즈 천만원이벤트 오전 10시 퀴즈 정답은,0
버거킹 와퍼주니어 1900원 가을 나들이는 버거킹과 함께,0
4딸라보다 싸다버거킹 일주일간 와퍼가 3500원,0
매물 폭탄 2020마시고 옷사입던 그 기업MA시장에 핫하게 부상,1
버거킹 비프칠리통모짜와퍼 2종 출시,1
롯데 인수 9년만에 日버거킹 사업 접었다,0
버거킹 스크림몬스터x 알뜰족들 발빠르게 움직여 어떻게 해야 이득 얻을 수,0
버거킹 가을 맞이 와퍼주니어 판매,0
4딸라보다 싸다버거킹 일주일간 와퍼가 3500원,0
매물 폭탄 2020마시고 옷사입던 그 기업MA시장에 핫하게 부상,1
버거킹 비프칠리통모짜와퍼 2종 출시,1
버거킹 스크림 몬스터X 오퀴즈 천만원이벤트 오전 11시 문제 OO월 OO일까지,-1
롯데 인수 9년만에 日버거킹 사업 접었다,0
버거킹 드로잉의 달인’ SNS 이벤트 진행,0
英 버커킹 밀크셰이킹 광고 금지무책임한 정치적 선동,0
오늘의 유통 단신 헬로네이처 베이비키즈존 오픈 外,1
버거킹스크림몬스터x 사먹을만한 가격일까 자세히 살펴보니,0
버거킹 통모짜 3탄 비프칠리통모짜와퍼 출시,1
버거킹 스크림 몬스터X 오퀴즈 천만원이벤트 오전 10시 문제 디아블로 소스,-1
롯데 인수 9년만에 日버거킹 사업 접었다,0
버거킹 드로잉의 달인’ SNS 이벤트 진행,0
英 버커킹 밀크셰이킹 광고 금지무책임한 정치적 선동,0
오늘의 유통 단신 헬로네이처 베이비키즈존 오픈 外,1
버거킹 치킨윙 사이드 메뉴 바삭킹 출시,1
버거킹 가을 맞아 와퍼주니어 1900원’ 할인 이벤트,0
버거킹 바삭킹 토스 깜짝퀴즈 정답은,0
英 버커킹 밀크셰이킹 광고 금지무책임한 정치적 선동,0
롯데 日 버거킹 인수 9년만에 매각,-1
금손 버거매니아 모여라버거킹 SNS 이벤트 드로잉의 달인 진행,0
오늘의 유통 단신 헬로네이처 베이비키즈존 오픈 外,1
버거킹 통모짜 시리즈 세 번째 비프칠리통모짜와퍼 출시,1
버거킹 치킨윙 사이드 메뉴 바삭킹 출시,1
버거킹 가을 맞아 와퍼주니어 1900원’ 할인 이벤트,0
버거킹 바삭킹 토스 깜짝퀴즈 정답은,0
견다희의 Check EAT 맥도날드 맥윙 外,0
버거킹스크림몬스터x OK캐쉬백 오퀴즈 초성 퀴즈 정답은,0
버거킹 세 번째 통모짜 시리즈 출시,1
버거킹 바삭킹 토스 깜짝퀴즈 정답은,0
